Company Name,Job Position,Category,Seniority,Salary,Posting Requirements,Job Details
 Elitmind , Remote Senior BI Consultant/Engineer , Business Intelligence ," Senior, Expert ", 20 000  – 28 000 ," ETL ,  Azure ,  SQL ,  Power BI ,  SSIS ,  SSAS ,  SQL Server ,  OLAP ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  No travel involved "
 PKO Finat Sp. z o.o. ,  DEVELOPER w technologiach SAS , Business Intelligence , Mid , 16 800  – 21 840 ," SAS ,  SAS Data Integration Studio ,  SAS Enterprise Guide ,  4GL ,  Oracle ,  PL/SQL ,  MS SQL ,  MS Office ,  Excel ,  Jira ,  Polish (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 2 days a week "
 Finture , Analityk systemowo-biznesowy , Business Analysis ," Mid, Senior ", 16 000  – 22 000 ," System analysis ,  Business analysis ,  BPM ,  Polish (C1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 3 days a week ,  Flexible hours "
 Link Group , Business Analyst - Success Factors , Business Analysis , Senior , 26 880  – 33 600 ," SAP ,  English ,  Polish "," Start ASAP ,  Permanent contract ,  Fully remote "
 autoDNA , Analityk Biznesowy / Product Owner  , Business Analysis , Mid , 7 200  – 12 000 ," SQL ,  JSON/XML ,  Excel ,  Draw.io ,  Polish ,  English "," Start ASAP ,  Permanent contract ,  No remote work "
" Raiffeisen Bank International AG, Oddział w Polsce ",  IT Business Analyst , Business Analysis ," Mid, Senior ", 14 000  – 19 000 ," Jira ,  Agile ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote for 4 days a week ,  Flexible hours "
 Proxet , Remote Senior DB integration Developer ," Data ,  SQL "," Senior, Expert ", 23 785  – 28 110 ," SQL ,  ETL ,  T-SQL ,  SQL Server ,  Azure SQL ,  SSIS ,  English (B1)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours ,  Mainly new features "
 Link Group , Azure Data Developer / Lead ," Data ,  Python "," Senior, Expert ", 27 000  – 33 500 ," Python ,  Azure ,  Azure Data Factory ,  Azure Functions ,  Azure SQL ,  Databricks ,  CI/CD ,  PySpark ,  Polish (B2),  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote ,  Flexible hours "
 Avenga , Business Analyst , Business Analysis , Mid , 8 000  – 11 000 ," BPMN ,  Jira ,  Confluence ,  Excel ,  PowerPoint ,  English (B2)"," Online recruitment ,  Start ASAP ,  Permanent contract ,  Fully remote "
 AVENGA , AWS Cloud Data Engineer  ," Data ,  AWS "," Mid, Senior ", 21 840  – 24 360 ," AWS ,  AWS Cloud ,  AWS S3 ,  Redshift ,  Glue ,  Athena ,  AWS Lambda ,  AWS EMR ,  Airflow ,  Python ,  ETL ,  Polish ,  English "," Start ASAP ,  Permanent contract ,  Fully remote "
 Link Group , Data Analyst , Business Intelligence , Mid , 10 000  – 12 000 ," Excel ,  SQL ,  PowerBI ,  DAX ,  English ,  Polish "," Start ASAP ,  Permanent contract ,  Remote days: flexible in a week "
 FIS Technology Services (Poland) Sp. z o.o. , Business Systems Analyst , Business Analysis , Mid , 8 000  – 11 000 ," Accounting ,  SQL ,  Jira ,  ALM ,  TestRail ,  English "," Online recruitment ,  Start ASAP ,  Permanent contract ,  Remote days: flexible in a week ,  Flexible hours "
